Date,Open,Close,High,Low,Volume
2009-02-17,124.0,121.3125,124.95,120.0,737597.0
2009-02-18,120.3375,120.1875,122.725,119.25,657353.0
2009-02-19,120.5,122.375,123.2,119.75,869268.0
2009-02-20,121.625,118.5125,121.875,116.075,1192847.0
2009-02-24,117.5,117.225,118.925,115.125,1123883.0
2009-02-25,117.5,120.1875,121.2,117.5,1379482.0
2009-02-26,120.25,120.55,122.65,119.25,2202072.0
2009-02-27,120.5,120.775,122.25,113.8125,1687537.0
2009-03-02,118.525,114.9625,120.5,113.7,997236.0
2009-03-03,113.0,111.55,116.5,109.8375,890224.0
2009-03-04,112.0,115.1375,116.1125,111.55,814575.0
2009-03-05,116.2375,115.8,117.725,114.5,1071124.0
2009-03-06,115.0,120.425,121.2125,114.4125,1451401.0
2009-03-09,117.775,115.75,120.0,114.75,1133796.0
2009-03-12,115.4125,119.35,121.25,115.4125,2154364.0
2009-03-13,118.3375,126.7125,127.5,118.3375,2549925.0
2009-03-16,127.5,129.95,130.7,125.6,1168224.0
2009-03-17,128.75,124.3875,129.5,123.2625,1736543.0
2009-03-18,125.0,126.2875,128.625,125.0,1603450.0
2009-03-19,126.375,128.7375,129.5,125.4,1845646.0
2009-03-20,132.225,127.45,132.225,126.375,1034845.0
2009-03-23,131.125,129.9125,132.4,127.75,1146828.0
2009-03-24,130.55,130.4125,133.125,128.05,1670386.0
2009-03-25,125.9125,131.5,132.475,125.9125,957904.0
2009-03-26,128.1625,139.6125,144.4875,128.1625,3807582.0
2009-03-27,134.1625,143.7125,146.25,134.1625,1769856.0
2009-03-30,133.4375,130.8125,142.5,129.5,1287047.0
2009-03-31,131.25,134.6375,135.975,131.25,1194418.0
2009-04-01,134.0,136.125,138.45,130.125,1681142.0
2009-04-02,136.4125,144.6875,146.75,136.4125,2125941.0
2009-04-06,146.2,144.8875,148.5,143.925,1353645.0
2009-04-08,146.275,151.0375,153.425,140.25,2548378.0
2009-04-09,153.0,150.6375,154.975,148.5625,1646681.0
2009-04-13,151.125,148.0625,152.25,143.8,1030252.0
2009-04-15,137.8875,144.425,145.45,137.5125,2441809.0
2009-04-16,145.0,143.0125,147.25,141.8,2217241.0
2009-04-17,144.2,143.275,149.875,141.275,1666006.0
2009-04-20,138.1875,140.35,145.45,138.1875,1332550.0
2009-04-21,144.9,137.6875,147.125,136.25,2872245.0
2009-04-22,140.0,135.7375,141.15,134.2875,1646231.0
2009-04-23,137.375,142.025,143.2125,136.3,1843428.0
2009-04-24,139.9875,145.975,146.75,139.9875,1344381.0
2009-04-27,145.9625,150.475,152.2,143.125,2035281.0
2009-04-28,149.775,149.625,151.9625,144.0875,2097173.0
2009-04-29,150.5,155.9,157.25,150.5,2632823.0
2009-05-04,157.75,166.6,174.9,157.5375,2785734.0
2009-05-05,167.25,162.75,168.7375,159.025,2205579.0
2009-05-06,159.5625,158.8375,162.425,153.75,13130524.0
2009-05-07,159.0,157.925,161.25,154.825,1934716.0
2009-05-08,157.0,157.7375,160.5,154.625,2250438.0
2009-05-11,159.625,153.8125,159.9125,152.25,1324653.0
2009-05-12,152.5,160.275,161.45,152.5,2371863.0
2009-05-13,160.5,155.425,161.225,153.75,1831200.0
2009-05-14,154.5,154.95,156.75,151.325,2360794.0
2009-05-15,156.0,161.0125,163.7125,156.0,2735618.0
2009-05-18,191.65,185.9625,197.9,173.75,18345.0
2009-05-19,187.5,167.4375,187.5,163.9,3253894.0
2009-05-20,167.5,169.1625,175.4875,165.75,2126916.0
2009-05-21,167.5,161.8625,171.25,161.0,1114831.0
2009-05-22,157.5,158.5125,161.25,157.5,1465364.0
2009-05-25,159.0,157.8375,161.0,155.6625,1418411.0
2009-05-26,158.7375,156.1125,159.9125,155.125,1514725.0
2009-05-27,157.7,162.1375,163.0,157.7,2305717.0
2009-05-28,155.85,165.8,168.475,155.85,4215919.0
2009-05-29,167.1875,176.15,177.5,163.1625,3467806.0
2009-06-01,168.3375,174.4125,177.4625,168.3375,1976451.0
2009-06-02,175.0,173.6875,177.5,172.5,1029543.0
2009-06-03,172.5,174.2125,176.1875,170.775,978736.0
2009-06-04,171.75,176.8,177.25,171.5875,1755176.0
2009-06-05,177.25,180.3375,182.175,174.0875,3305033.0
2009-06-08,181.175,185.525,187.4375,180.0,2316956.0
2009-06-09,182.775,195.5375,198.75,182.775,2422677.0
2009-06-10,196.25,195.45,201.25,191.8125,2345949.0
2009-06-11,197.0,193.775,198.1125,192.5,970800.0
2009-06-12,196.25,191.1375,198.7,190.3,1589665.0
2009-06-15,191.175,194.5,196.25,188.75,1648967.0
2009-06-16,191.65,194.575,196.75,185.6,2172003.0
2009-06-17,196.0,189.375,197.5,187.5,1870784.0
2009-06-18,189.0,188.2,196.5,186.025,2376554.0
2009-06-19,188.5,189.9,196.0,187.5,3863866.0
2009-06-22,192.2,184.825,193.9,184.0,2053104.0
2009-06-23,180.0,183.325,188.875,179.0,2567847.0
2009-06-24,186.475,190.875,194.25,180.1,3651977.0
2009-06-25,191.0,190.25,196.0,185.15,4847331.0
2009-06-26,191.25,198.7,202.2,188.275,3049850.0
2009-06-29,199.925,193.1,201.0,191.675,2372603.0
2009-06-30,193.75,194.925,199.0,191.575,2961974.0
2009-07-01,193.55,196.475,197.5,191.225,1842369.0
2009-07-02,195.0,195.0,197.65,190.6,1857714.0
2009-07-03,192.5,195.475,196.2,192.5,1459922.0
2009-07-06,198.5,190.35,199.225,189.175,2244458.0
2009-07-07,192.0,194.575,196.625,190.0,1902284.0
2009-07-08,194.35,190.575,194.45,184.125,3347383.0
2009-07-09,191.05,194.075,195.55,185.5,1982404.0
2009-07-10,195.5,197.575,200.725,195.0,3734374.0
2009-07-13,195.0,198.75,200.5,194.125,2559916.0
2009-07-14,202.5,203.475,205.55,200.2,2232068.0
2009-07-15,205.45,211.575,213.65,205.0,2235047.0
2009-07-16,214.0,209.9,217.4,206.6,3798438.0
2009-07-17,210.7,217.05,222.875,210.5,4547478.0
2009-07-20,222.5,250.275,257.45,222.5,17269768.0
2009-07-21,251.5,238.8,256.575,237.025,6502910.0
2009-07-22,241.85,233.15,242.5,226.15,5337345.0
2009-07-23,235.5,237.825,241.45,235.0,3831339.0
2009-07-24,245.0,241.0,245.0,238.0,3954661.0
2009-07-27,241.0,240.15,244.475,238.55,2326169.0
2009-07-28,242.175,240.325,242.475,235.65,3167492.0
2009-07-29,240.0,249.9,252.35,237.5,5536075.0
2009-07-30,252.625,266.55,272.5,245.125,7836241.0
2009-07-31,269.5,262.975,270.0,260.7,2817483.0
2009-08-03,265.0,265.825,267.425,260.55,1760274.0
2009-08-04,260.25,265.075,270.6,260.25,2740646.0
2009-08-05,264.75,264.5,268.475,253.775,3212005.0
2009-08-06,264.5,258.7,267.2,257.1,2089374.0
2009-08-07,258.3,254.55,260.975,253.05,2276333.0
2009-08-10,257.575,269.525,275.875,257.0,5311988.0
2009-08-11,268.75,270.95,279.0,267.05,4421740.0
2009-08-12,267.5,259.825,268.0,255.5,5663268.0
2009-08-13,267.2,263.375,267.2,259.8,5016964.0
2009-08-14,265.0,260.75,265.0,259.0,2575907.0
2009-08-17,258.4,255.075,258.75,252.625,2981410.0
2009-08-18,252.5,254.425,257.425,249.75,4074922.0
2009-08-19,256.4,249.025,257.35,247.0,2801685.0
2009-08-20,252.45,250.5,254.2,249.05,1830480.0
2009-08-21,251.0,254.625,256.25,247.5,3464511.0
2009-08-24,257.975,260.775,262.925,256.775,2103602.0
2009-08-25,259.0,264.15,265.5,257.05,2764649.0
2009-08-26,263.35,274.25,277.5,263.275,4426312.0
2009-08-27,275.0,273.875,283.0,270.5,5115464.0
2009-08-28,272.875,270.4,275.0,265.55,2281568.0
2009-08-31,265.5,263.525,266.9,260.65,3585176.0
2009-09-01,267.5,263.45,268.175,259.55,4931097.0
2009-09-02,260.5,267.3,271.45,260.5,4080709.0
2009-09-03,269.95,266.825,272.2,265.225,3898372.0
2009-09-04,270.0,265.95,272.0,263.6,3131723.0
2009-09-07,267.9,275.475,276.775,266.8,2962860.0
2009-09-08,275.95,277.325,285.25,274.825,4946021.0
2009-09-09,278.0,280.225,282.4,271.575,3766093.0
2009-09-10,282.0,278.275,284.5,276.025,2449457.0
2009-09-11,280.5,280.175,284.5,277.75,4565148.0
2009-09-14,266.825,279.55,281.95,266.825,1600486.0
2009-09-15,282.0,285.95,287.85,281.0,2154093.0
2009-09-16,289.5,285.25,289.975,282.6,2908261.0
2009-09-17,287.5,291.475,294.0,286.5,2641610.0
2009-09-18,292.5,292.0,295.0,289.5,1962674.0
2009-09-22,294.975,301.325,303.0,291.125,1881640.0
2009-09-23,304.0,295.45,305.825,293.625,2261205.0
2009-09-24,294.0,301.275,304.65,291.0,3401674.0
2009-09-25,277.5,293.7,299.0,277.5,1534103.0
