NseCode,Company,OldFV,NewFV,SplitDate
,Anka Ind,5,10,13-01-2012
,Confidence Fin,10,1,30-12-2013
,Universal Sec,10,5,26-12-2013
,KDJ Holidayscap,10,2,26-12-2013
,Bonanza Ind,10,5,19-12-2013
,Aikyam Intellec,10,1,13-12-2013
,First Financial,10,1,13-12-2013
CNOVAPETRO,CIL Nova Petro,5,10,05-12-2013
,Kaiser Corp,10,1,22-11-2013
,Pazel Internati,10,1,22-11-2013
RELAXO,Relaxo Footwear,5,1,22-11-2013
GODREJPROP,Godrej Prop,10,5,21-11-2013
,Best Eastern,2,1,14-11-2013
,Lifeline Drugs,10,1,13-11-2013
,Effingo Textile,10,1,13-11-2013
,Shree Nath Comm,1,10,31-10-2013
,Centron Ind,10,1,25-10-2013
ASHIANA,Ashiana Housing,10,2,24-10-2013
,Atharv Ent,10,1,18-10-2013
FEDERALBNK,Federal Bank,10,2,17-10-2013
notScraping,S R K Ind,10,5,11-10-2013
,Dhanleela,10,2,10-10-2013
,Rander Corp,10,1,09-10-2013
,Intel Cap Adv,10,1,30-09-2013
,Supremex,10,1,30-09-2013
,Ram Minerals,10,1,30-09-2013
,Kyra Landscapes,10,5,30-09-2013
MAYURUNIQ,Mayur Uniquoter,10,5,25-09-2013
,Nyssa Corp,10,1,16-09-2013
ASTRAL,Astral Poly Tec,5,2,05-09-2013
,Syncom Formula,10,1,19-08-2013
CCL,CCL Products,10,2,19-08-2013
,Virtual Global,10,1,14-08-2013
notScraping,Apcotex Ind,10,5,14-08-2013
NTL,Neueon Towers,1,10,07-08-2013
NTL,Neueon Towers,1,10,07-08-2013
ASIANPAINT,Asian Paints,10,1,30-07-2013
,Kelvin Fincap,10,5,24-07-2013
,IFL Promoters,5,1,11-07-2013
ADVANTA,Advanta,10,2,05-07-2013
notScraping,Centrum Capital,10,1,03-07-2013
notScraping,Ashoka Buildcon,10,5,03-07-2013
notScraping,Westlife Dev,10,2,12-06-2013
,Midland Polymer,10,1,10-06-2013
,Linkson Intl,10,5,06-06-2013
,MSR India,10,5,31-05-2013
,Pine Animation,10,1,17-05-2013
notScraping,Mahavir Impex,10,5,17-05-2013
,Veronica Prod,10,5,26-04-2013
,Safal Sec,10,5,23-04-2013
PIIND,PI Industries,5,1,12-04-2013
SPYL,Shekhawati Poly,10,1,10-04-2013
,Surabhi Chemica,10,1,10-04-2013
,Sybly Ind,1,10,04-04-2013
,Mindvision Cap,5,10,26-03-2013
notScraping,Bil Energy,10,1,26-03-2013
RASOYPR,Rasoya Protein,5,1,21-03-2013
,GFL Financials,5,2,18-03-2013
,Shree Shaleen,10,2,06-03-2013
RAJRAYON,Raj Rayon Ind,10,1,04-03-2013
VKSPL,VKS Projects,10,1,27-02-2013
M&MFIN,M&M Financial,10,2,15-02-2013
,PMC Fincorp,10,5,07-02-2013
,Sulabh Engineer,10,1,04-02-2013
,Frontline Sol,10,5,31-01-2013
,Radford Global,10,2,29-01-2013
20MICRONS,20 Microns,10,5,28-01-2013
notScraping,ACI Infocom,10,1,23-01-2013
,Moryo,10,5,14-01-2013
,Global Cap Mkts,1,10,10-01-2013
VISESHINFO,Visesh Infotech,10,1,03-01-2013
,Apollo Tricoat ,10,2,31-12-2014
,Omansh Ente,10,2,24-12-2014
INFODRIVE,Info Drive Soft,10,1,24-12-2014
,Shivamshree Bus,10,1,24-12-2014
,Inceptum Ent,10,1,18-12-2014
JKTYRE,JK Tyre & Ind,10,2,18-12-2014
PNB,PNB,10,2,18-12-2014
,Syschem India,1,10,12-12-2014
ICICIBANK,ICICI Bank,10,2,04-12-2014
notScraping,Godfrey Phillip,10,2,28-11-2014
,Roto Pumps,10,2,27-11-2014
,Classic Global,10,1,27-11-2014
SURANASOL,Surana Solar,10,5,25-11-2014
SURANAT&P,Surana Telecom,5,1,25-11-2014
ZENTEC,Zen Tech,10,1,21-11-2014
SBIN,SBI,10,1,20-11-2014
,Sanguine Media ,10,1,20-11-2014
,Excel Castronic,10,2,20-11-2014
,Solis Marketing,10,1,18-11-2014
,NCL Research,10,2,17-11-2014
,Achal Invest,10,1,12-11-2014
SHIVAMAUTO,Shivam Auto,10,2,30-10-2014
,GCM Securities,10,1,28-10-2014
KRIDHANINF,Kridhan Infra,10,2,27-10-2014
,PMC Fincorp,5,1,22-10-2014
,Midas Infra,10,1,21-10-2014
,Sequel e-Router,1,10,17-10-2014
,Negotium Int,10,1,16-10-2014
,Veronica Prod,5,1,08-10-2014
JBMA,JBM Auto,10,5,08-10-2014
,Risa Intl,10,2,07-10-2014
SUDARSCHEM,Sudarshan Chem,10,2,30-09-2014
ASTRAL,Astral Poly Tec,2,1,25-09-2014
,Mah Corporation,10,1,25-09-2014
LAOPALA,La Opala RG,10,2,24-09-2014
SOUISPAT,Southern Ispat,10,1,22-09-2014
PANAMAPET,Panama Petro,10,2,19-09-2014
,Vertex Spinning,1,10,19-09-2014
ATULAUTO,Atul Auto,10,5,12-09-2014
,Allied Computer,10,1,11-09-2014
ALKYLAMINE,Alkyl Amines,10,5,08-09-2014
J&KBANK,JK Bank,10,1,04-09-2014
notScraping,Camlin Fine,2,1,04-09-2014
,PS IT Infra,10,1,03-09-2014
notScraping,Man Infra,10,2,28-08-2014
HAVELLS,Havells India,5,1,26-08-2014
,Zodiac Ventures,10,1,21-08-2014
,Mystic Electr,10,1,14-08-2014
,Mukta Agri,10,1,14-08-2014
,Alps Motor Fin,10,1,04-08-2014
AXISBANK,Axis Bank,10,2,28-07-2014
notScraping,Swadeshi Ind,10,1,02-07-2014
,Orosil Smiths,10,5,26-06-2014
,Thacker,5,1,24-06-2014
notScraping,Deepak Nitrite,10,2,20-06-2014
,Greencrest Fin,10,1,05-06-2014
,Trinity Trade,10,1,23-05-2014
,Rekvina Labs,10,5,30-04-2014
,Cubical Fin Ser,10,2,23-04-2014
,Matra Kaushal,10,1,23-04-2014
,Kriptol Ind,5,10,23-04-2014
,Swagruha Infra,10,1,04-04-2014
,CHL,10,2,03-04-2014
VIKASECO,Vikas Ecotech,10,1,27-03-2014
RAJTV,Raj Television,10,5,25-03-2014
,Vishvjyoti Trad,10,1,19-03-2014
,Premier Cap,10,1,19-03-2014
,Aarya Global,1,10,19-03-2014
,Atlanta Infra,10,1,14-03-2014
,Him Teknoforge ,10,2,03-03-2014
,Finkurve Fin,10,1,26-02-2014
RSYSTEMS,R Systems Intl,10,1,26-02-2014
SHARONBIO,Sharon Bio Medi,10,2,20-02-2014
SWANENERGY,Swan Energy,2,1,03-02-2014
,Sam Leaseco,10,1,29-01-2014
KSCL,Kaveri Seed,10,2,27-01-2014
BSLIMITED,BS Limited,10,1,21-01-2014
,Mishka Finance,10,1,16-01-2014
,Cressanda Sol,10,1,13-01-2014
,Thacker,10,5,10-01-2014
,Maa Jagdambe,10,2,09-01-2014
NIVINFRA,Nivyah Infra,10,100,07-01-2014
,Chaman Lal Seti,10,2,29-12-2015
,MFL India,10,1,22-12-2015
notScraping,Indian Terrain,10,2,21-12-2015
SMSPHARMA,SMS Pharma,10,1,17-12-2015
,Noble Polymers,10,5,16-12-2015
notScraping,Setco Auto,10,2,16-12-2015
,Citizen Yarns,10,5,16-12-2015
,Jackson Invt,10,1,15-12-2015
,Khoobsurat,10,1,14-12-2015
JKIL,J Kumar Infra,10,5,10-12-2015
,CCL Internation,2,10,04-12-2015
JAMNAAUTO,Jamna Auto,10,5,03-12-2015
,Sharp Invest,10,1,02-12-2015
