Company,OldFV,NewFV,SplitDate
Mafatlal Ind,100,10,22-01-2003
Sun Pharma,10,5,13-01-2003
Sunitee Chem,10,1,13-01-2003
Piramal Enter,10,2,27-12-2004
Marsons,10,2,24-12-2004
SPML Infra,10,2,19-11-2004
Venlon Polyeste,10,5,27-10-2004
Patel Eng,5,1,25-10-2004
Amtek Auto,10,2,05-10-2004
Perfect Circle,8,1,23-09-2004
Indian Hume,100,10,24-08-2004
JTEKT India ,10,2,24-08-2004
Berger Paints,10,2,24-08-2004
Carborundum,10,2,16-08-2004
Adani Enterpris,10,1,28-07-2004
Shanthi Gears,10,1,27-07-2004
JagsonpalPharma,10,5,20-07-2004
Bosch,100,10,08-07-2004
Ashok Leyland,10,1,28-06-2004
Cipla,10,2,11-05-2004
Bajaj Hindustha,10,1,28-04-2004
Wockhardt,10,5,28-04-2004
Radaan Media,10,2,08-04-2004
Addi Industries,10,5,06-04-2004
Hazoor,2,4,23-03-2004
Suprajit Eng,10,5,16-03-2004
Motherson Sumi,5,1,16-03-2004
Unichem Labs,10,5,16-03-2004
Jindal Stainles,10,2,01-03-2004
Bhansali Eng,10,1,16-02-2004
Emami,10,2,16-02-2004
HSIL,10,5,10-02-2004
Sundram,10,1,27-01-2004
Aftek,10,2,20-01-2004
Suven Life Sci,10,2,15-01-2004
HSIL,5,2,30-12-2005
Sri Adhikari,10,2,30-12-2005
Gabriel India,10,1,30-12-2005
Smiths & Found,10,1,27-12-2005
Protochem,10,1,23-12-2005
G-Tech Info,10,1,21-12-2005
Sheetal Sec,10,1,19-12-2005
Phoenix Mills,100,10,09-12-2005
Madhucon Proj,10,2,02-12-2005
Ventura Text,10,1,02-12-2005
Bellary Steel,10,1,02-12-2005
Vertex Spinning,10,1,11-11-2005
Sundaram Multi,10,1,09-11-2005
Vidhi Spec,10,1,08-11-2005
Hind Constr,10,1,08-11-2005
Kitex Garments,10,1,07-11-2005
DMC Education,10,5,07-11-2005
Cranes Software,10,2,02-11-2005
Nandan Denim,10,1,02-11-2005
Jaipan Inds,10,1,02-11-2005
Linkhouse Ind,10,1,02-11-2005
Gopala Poly,10,5,31-10-2005
Rujul Finance,10,2,31-10-2005
Zenith Health,10,1,28-10-2005
Assam Company,10,1,28-10-2005
Dalmia Sugar,10,2,27-10-2005
Jayant Mercanti,10,1,27-10-2005
Divine Multi,10,1,27-10-2005
Globus Corp,10,2,27-10-2005
Paras Petro,10,1,26-10-2005
Indo Pacific,10,1,26-10-2005
Sterling Intl,10,1,26-10-2005
Alchemist,10,1,26-10-2005
CHD Developers,10,2,26-10-2005
Sterling Webnet,10,1,26-10-2005
BAMPSL Sec,10,1,26-10-2005
Gangotri Textil,10,5,24-10-2005
ISF,10,1,24-10-2005
ConfidencePetro,10,1,24-10-2005
Swasti Vinayaka,10,1,21-10-2005
Dishman Pharma,10,2,21-10-2005
Bisil Plast,10,1,20-10-2005
Kajaria Ceramic,10,2,19-10-2005
Luminaire Tech,10,1,18-10-2005
Himatsingka Sei,10,5,14-10-2005
Ontrack Systems,10,1,14-10-2005
Taj GVK Hotels,10,2,10-10-2005
Guj Flourochem,10,2,10-10-2005
Ultramarine,10,2,10-10-2005
Sintex Ind,10,2,10-10-2005
DCM Shriram,10,2,07-10-2005
Newtime Infra,10,1,07-10-2005
Astra Microwave,10,2,07-10-2005
Empower India,10,1,06-10-2005
Millennium Cybe,10,1,03-10-2005
Manugraph Ind,10,2,03-10-2005
Veerhealth Care,10,1,28-09-2005
BLS Infotech,10,1,28-09-2005
UPL,10,2,27-09-2005
Sambhaav Media,10,1,26-09-2005
Nila Infra,10,1,26-09-2005
Jay BharatMarut,10,5,23-09-2005
Shrenuj and Co,10,2,23-09-2005
ITC,10,1,21-09-2005
Pidilite Ind,10,1,20-09-2005
DCW,10,2,20-09-2005
Chandni Textile,10,1,19-09-2005
KSL & Ind,10,4,16-09-2005
Bharat Bijlee,100,10,09-09-2005
Rajesh Exports,10,2,09-09-2005
Castex Tech,10,2,08-09-2005
Ind Tra Deco,10,1,02-09-2005
Hindalco,10,1,30-08-2005
Kedia Infotech,10,1,26-08-2005
Aeonian Pub,10,2,25-08-2005
Nava Bharat Ven,10,2,24-08-2005
NCC,10,2,24-08-2005
Sumeru Ind,10,1,22-08-2005
OM Metals Infra,10,1,22-08-2005
Shasun Pharma,10,2,19-08-2005
Koa Tools,10,2,19-08-2005
Mazda,10,2,18-08-2005
Praj Industries,10,2,17-08-2005
Orient Abrasive,10,1,16-08-2005
Landmarc Corp,10,1,12-08-2005
Lahoti Over,10,2,12-08-2005
Kirloskar Bros,10,2,10-08-2005
Kirloskar Ind,10,2,10-08-2005
Geometric,10,2,02-08-2005
Ranbaxy Labs,10,5,25-07-2005
Filmcity Media,10,1,25-07-2005
Faze Three Exp,10,2,22-07-2005
Mindvision Cap,10,5,21-07-2005
Bharat Forge,10,2,20-07-2005
Interface Fin,10,1,18-07-2005
Firstobject Tec,10,1,15-07-2005
