Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
520008,RICOAUTO,RICO AUTO INDUSTRIES LTD.,13 Mar 2002,Bonus issue 1:1       ,27 Mar 2002,-,-,13 Mar 2002,20 Mar 2002,-
509650,ZHINDHSG,HINDUSTAN HOUSING CO.LTD.,06 Sep 2002,Bonus issue 3:1       ,27 Sep 2002,-,-,06 Sep 2002,01 Oct 2002,-
511246,WHITELIO,WHITE LION ASIA LTD.,17 Sep 2002,Bonus issue 1:5       ,-,26 Sep 2002,30 Sep 2002,17 Sep 2002,24 Sep 2002,-
531823,ARVINDREM$,ARVIND REMEDIES LTD.,23 Sep 2002,-,-,01 Oct 2002,10 Oct 2002,23 Sep 2002,26 Sep 2002,-
590003,KARURVYSYA,KARUR VYSYA BANK LTD.,21 Oct 2002,Bonus issue 1:1       ,28 Oct 2002,-,-,21 Oct 2002,25 Oct 2002,-
512167,MATRAREAL,MATRA REALTY LTD.,21 Oct 2002,Bonus issue 1:2       ,08 Nov 2002,-,-,21 Oct 2002,13 Nov 2002,-
501630,ANANDPROJ,Anand Projects Ltd,14 Jan 2003,Bonus issue 4 : 3     ,01 Feb 2003,-,-,14 Jan 2003,06 Feb 2003,-
501700,INDIANVSH,INDIANIVESH LTD.,14 Jan 2003,Bonus issue 1 : 1     ,01 Feb 2003,-,-,14 Jan 2003,06 Feb 2003,-
504351,EMPOWER,EMPOWER INDIA LTD.,03 Feb 2003,Bonus issue 9:1       ,-,21 Feb 2003,24 Feb 2003,03 Feb 2003,26 Feb 2003,-
504882, NATIONSTD,NATIONAL STANDARD (INDIA) LTD.,26 May 2003,Bonus issue 3:2       ,-,12 Jun 2003,16 Jun 2003,26 May 2003,18 Jun 2003,-
503693,SOLITIN,SOLITAIRE INVESTMENTS CO.LTD.,12 Aug 2003,Bonus issue 7:1       ,29 Aug 2003,-,-,12 Aug 2003,04 Sep 2003,-
507405,VISHNSG,VISHNU SUGAR MILLS LTD.,13 Aug 2003,Bonus issue 3:1       ,-,02 Sep 2003,05 Sep 2003,13 Aug 2003,10 Sep 2003,-
506142,VYAPAR,VYAPAR INDUSTRIES LTD.,04 Sep 2003,Bonus issue 4:1       ,-,22 Sep 2003,29 Sep 2003,04 Sep 2003,26 Sep 2003,-
