Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532419,SMARTLINK,Smartlink Holdings Ltd,28 Feb 2002,-,15 Mar 2002,-,-,28 Feb 2002,07 Mar 2002,-
531816,PANORAMUNI,PANORAMIC UNIVERSAL LTD.,13 Mar 2002,-,27 Mar 2002,-,-,13 Mar 2002,20 Mar 2002,-
532417,ESTAR,E.STAR INFOTECH LTD.,27 Mar 2002,-,12 Apr 2002,-,-,27 Mar 2002,09 Apr 2002,-
531599,FDC,FDC LTD.,14 May 2002,-,23 May 2002,-,-,14 May 2002,21 May 2002,-
509220,PTL,PTL ENTERPRISES LTD.-$,27 May 2002,-,03 Jun 2002,-,-,27 May 2002,31 May 2002,-
519260,SANWARIA,Sanwaria Consumer Ltd-$,11 Jun 2002,-,20 Jun 2002,-,-,11 Jun 2002,18 Jun 2002,-
531690,SEAGUL,SEAGULL LEAFIN LTD.,21 Jun 2002,-,30 Jun 2002,-,-,21 Jun 2002,27 Jun 2002,-
532359,HITKITGLO,HIT KIT GLOBAL SOLUTIONS LTD.,13 Aug 2002,-,-,23 Aug 2002,25 Aug 2002,13 Aug 2002,20 Aug 2002,-
511246,WHITELIO,WHITE LION ASIA LTD.,17 Sep 2002,-,-,26 Sep 2002,30 Sep 2002,17 Sep 2002,24 Sep 2002,-
532365,DSSL,DYNACONS SYSTEMS & SOLUTIONS LTD.,19 Sep 2002,-,28 Sep 2002,-,-,19 Sep 2002,24 Sep 2002,-
531823,ARVINDREM$,ARVIND REMEDIES LTD.,23 Sep 2002,-,-,01 Oct 2002,10 Oct 2002,23 Sep 2002,26 Sep 2002,-
531417,MEGACOR,MEGA CORPORATION LTD.,26 Sep 2002,-,07 Oct 2002,-,-,26 Sep 2002,04 Oct 2002,-
512447,INNOVIS,INNOVISION E-COMMERCE LTD.,07 Oct 2002,-,16 Oct 2002,-,-,07 Oct 2002,14 Oct 2002,-
515030,ASAHIINDIA,ASAHI INDIA GLASS LTD.,08 Oct 2002,-,18 Oct 2002,-,-,08 Oct 2002,14 Oct 2002,-
517334,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,21 Oct 2002,-,30 Oct 2002,-,-,21 Oct 2002,29 Oct 2002,-
530663,GOYALASS,GOYAL ASSOCIATES LTD.,22 Oct 2002,-,31 Oct 2002,-,-,22 Oct 2002,29 Oct 2002,-
509079,GUFICBIO,GUFIC BIOSCIENCES LTD.,29 Oct 2002,-,08 Nov 2002,-,-,29 Oct 2002,01 Nov 2002,-
532091,ORBIT,ORBIT MULTIMEDIA LTD.,29 Oct 2002,-,08 Nov 2002,-,-,29 Oct 2002,01 Nov 2002,-
531458,BOSTONBIO,Boston Bio Systems Ltd.,11 Nov 2002,-,18 Nov 2002,-,-,11 Nov 2002,14 Nov 2002,-
530019,JUBILANT,JUBILANT LIFE SCIENCES LIMITED,12 Nov 2002,-,21 Nov 2002,-,-,12 Nov 2002,18 Nov 2002,-
512267,MMWL,MEDIA MATRIX WORLDWIDE LTD.,15 Nov 2002,-,25 Nov 2002,-,-,15 Nov 2002,22 Nov 2002,-
531488,SANIM,SANYO IMPEX LTD.,18 Dec 2002,-,28 Dec 2002,-,-,18 Dec 2002,24 Dec 2002,-
531782,OASISME,OASIS MEDIA MATRIX LTD.,30 Dec 2002,-,07 Jan 2003,-,-,30 Dec 2002,06 Jan 2003,-
531945,SUNITEE,SUNITEE CHEMICALS LTD.,13 Jan 2003,-,20 Jan 2003,-,-,13 Jan 2003,17 Jan 2003,-
524715,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,13 Jan 2003,-,21 Jan 2003,-,-,13 Jan 2003,20 Jan 2003,-
530769,VENUSUNI,VENUS UNIVERSAL LTD.,23 Jan 2003,-,01 Feb 2003,-,-,23 Jan 2003,29 Jan 2003,-
511076,SATINDLTD,SAT INDUSTRIES LTD.-$,27 Jan 2003,-,03 Feb 2003,-,-,27 Jan 2003,31 Jan 2003,-
531692,KHYATI,KHYATI MULTIMEDIA-ENTERTAINMENT LTD.,03 Feb 2003,-,10 Feb 2003,-,-,03 Feb 2003,07 Feb 2003,-
531349,PANACEABIO,PANACEA BIOTEC LTD.,03 Feb 2003,-,11 Feb 2003,-,-,03 Feb 2003,07 Feb 2003,-
530835,ELTROL,ELTROL LTD.,22 Apr 2003,-,-,28 Apr 2003,30 Apr 2003,22 Apr 2003,28 Apr 2003,-
531173,SYSCHEM,SYSCHEM (INDIA) LTD.,22 Apr 2003,-,28 Apr 2003,-,-,22 Apr 2003,28 Apr 2003,-
512499,SHALPRO,SHALIMAR PRODUCTIONS LTD.,03 Jul 2003,-,11 Jul 2003,-,-,03 Jul 2003,09 Jul 2003,-
532444,TSPIRITUAL,T.SPIRITUAL WORLD LTD.,11 Aug 2003,-,19 Aug 2003,-,-,11 Aug 2003,19 Aug 2003,-
532117,PLATINUM,PLATINUM CORPORATION LTD.,23 Sep 2003,-,01 Oct 2003,-,-,23 Sep 2003,30 Sep 2003,-
524804,AUROPHARMA,AUROBINDO PHARMA LTD.,23 Oct 2003,-,31 Oct 2003,-,-,23 Oct 2003,29 Oct 2003,-
532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,23 Oct 2003,-,31 Oct 2003,-,-,23 Oct 2003,29 Oct 2003,-
500260,RAMCOCEM,The Ramco Cements Limited,06 Nov 2003,-,14 Nov 2003,-,-,06 Nov 2003,12 Nov 2003,-
531681,AMARDEE,AMRADEEP INDUSTRIES LTD.,18 Nov 2003,-,25 Nov 2003,-,-,18 Nov 2003,24 Nov 2003,-
531991,AMRAAGRI,AMRAWORLD AGRICO LTD.,18 Nov 2003,-,25 Nov 2003,-,-,18 Nov 2003,24 Nov 2003,-
531715,SHUKUN,SHUKUN CONSTRUCTION LTD.,18 Nov 2003,-,24 Nov 2003,-,-,18 Nov 2003,21 Nov 2003,-
506285,BAYERCROP,BAYER CROPSCIENCE LTD.,24 Nov 2003,-,01 Dec 2003,-,-,24 Nov 2003,01 Dec 2003,-
532161,BAFEG,BAFFIN ENGINEERING PROJECTS LTD.,02 Dec 2003,-,10 Dec 2003,-,-,02 Dec 2003,10 Dec 2003,-
505355,NESCO,NESCO LTD.,04 Dec 2003,-,23 Dec 2003,-,-,04 Dec 2003,31 Dec 2003,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,09 Dec 2003,-,17 Dec 2003,-,-,09 Dec 2003,17 Dec 2003,-
500279,MIRCELECTR,MIRC ELECTRONICS LTD.,16 Dec 2003,-,22 Dec 2003,-,-,16 Dec 2003,22 Dec 2003,-
532092,SAGARPROD,Sagar Productions Limited,16 Dec 2003,-,24 Dec 2003,-,-,16 Dec 2003,23 Dec 2003,-
532343,TVSMOTOR,TVS MOTOR COMPANY LTD.,18 Dec 2003,-,26 Dec 2003,-,-,18 Dec 2003,23 Dec 2003,-
512068,DECNGOLD,DECCAN GOLD MINES LTD.,22 Dec 2003,-,30 Dec 2003,-,-,22 Dec 2003,30 Dec 2003,-
532286,JINDALSTEL,JINDAL STEEL & POWER LTD.,22 Dec 2003,-,29 Dec 2003,-,-,22 Dec 2003,29 Dec 2003,-
517354,HAVELLS,HAVELLS INDIA LTD.,30 Dec 2003,-,07 Jan 2004,-,-,30 Dec 2003,07 Jan 2004,-
530239,SUVEN,SUVEN LIFE SCIENCES LTD.,15 Jan 2004,-,23 Jan 2004,-,-,15 Jan 2004,21 Jan 2004,-
530707,AFTEK,AFTEK LTD.,20 Jan 2004,-,29 Jan 2004,-,-,20 Jan 2004,28 Jan 2004,-
500403,SUNDRMFAST,SUNDRAM FASTENERS LTD.,27 Jan 2004,-,02 Feb 2004,-,-,27 Jan 2004,30 Jan 2004,-
500187,HSIL,HSIL LTD.,10 Feb 2004,-,16 Feb 2004,-,-,10 Feb 2004,13 Feb 2004,-
500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,16 Feb 2004,-,23 Feb 2004,-,-,16 Feb 2004,23 Feb 2004,-
531162,EMAMILTD,EMAMI LTD.-$,16 Feb 2004,-,24 Feb 2004,-,-,16 Feb 2004,24 Feb 2004,-
532508,JSL,JINDAL STAINLESS LTD.,01 Mar 2004,-,09 Mar 2004,-,-,01 Mar 2004,09 Mar 2004,-
500131,ELGITR,ELGITREAD (INDIA) LTD.,04 Mar 2004,-,12 Mar 2004,-,-,04 Mar 2004,10 Mar 2004,-
517334,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,16 Mar 2004,-,23 Mar 2004,-,-,16 Mar 2004,23 Mar 2004,-
532509,SUPRAJIT,SUPRAJIT ENGINEERING LTD.-$,16 Mar 2004,-,23 Mar 2004,-,-,16 Mar 2004,23 Mar 2004,-
506690,UNICHEMLAB,UNICHEM LABORATORIES LTD.,16 Mar 2004,-,24 Mar 2004,-,-,16 Mar 2004,24 Mar 2004,-
507852,ADDIND,ADDI INDUSTRIES LTD.-$,06 Apr 2004,-,15 Apr 2004,-,-,06 Apr 2004,13 Apr 2004,-
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,28 Apr 2004,-,07 May 2004,-,-,28 Apr 2004,05 May 2004,-
532300,WOCKPHARMA,WOCKHARDT LTD.,28 Apr 2004,-,-,07 May 2004,11 May 2004,28 Apr 2004,05 May 2004,-
500087,CIPLA,CIPLA LTD.,11 May 2004,-,19 May 2004,-,-,11 May 2004,19 May 2004,-
500477,ASHOKLEY,ASHOK LEYLAND LTD.,28 Jun 2004,-,-,07 Jul 2004,29 Jul 2004,28 Jun 2004,07 Jul 2004,-
526109,PRICOL,Pricol   Ltd,07 Jul 2004,-,15 Jul 2004,-,-,07 Jul 2004,14 Jul 2004,-
507789,JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LTD.,20 Jul 2004,-,28 Jul 2004,-,-,20 Jul 2004,28 Jul 2004,-
522034,SHANTIGEAR,SHANTHI GEARS LTD.,27 Jul 2004,-,03 Aug 2004,-,-,27 Jul 2004,03 Aug 2004,-
512599,ADANIENT,ADANI ENTERPRISES LTD.,28 Jul 2004,-,05 Aug 2004,-,-,28 Jul 2004,04 Aug 2004,-
513375,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,16 Aug 2004,-,25 Aug 2004,-,-,16 Aug 2004,25 Aug 2004,-
509480,BERGEPAINT,BERGER PAINTS INDIA LTD.,24 Aug 2004,-,01 Sep 2004,-,-,24 Aug 2004,31 Aug 2004,-
504741,INDIANHUME,INDIAN HUME PIPE CO.LTD.,24 Aug 2004,-,30 Aug 2004,-,-,24 Aug 2004,30 Aug 2004,-
520057,JTEKTINDIA,Jtekt India Ltd,24 Aug 2004,-,01 Sep 2004,-,-,24 Aug 2004,31 Aug 2004,-
505789,PERCI,PERFECT CIRCLE INDIA LTD.,23 Sep 2004,-,30 Sep 2004,-,-,23 Sep 2004,28 Sep 2004,-
520077,AMTEKAUTO,AMTEK AUTO LTD.-$,05 Oct 2004,-,-,12 Oct 2004,16 Oct 2004,05 Oct 2004,11 Oct 2004,-
531120,PATELENG,PATEL ENGINEERING LTD.-$,25 Oct 2004,-,01 Nov 2004,-,-,25 Oct 2004,29 Oct 2004,-
524038,VENLONENT,VENLON ENTERPRISES LTD.,27 Oct 2004,-,03 Nov 2004,-,-,27 Oct 2004,02 Nov 2004,-
500402,SPMLINFRA,SPML Infra Limited,19 Nov 2004,-,26 Nov 2004,-,-,19 Nov 2004,24 Nov 2004,-
517467,MARSONS,MARSONS LIMITED,24 Dec 2004,-,31 Dec 2004,-,-,24 Dec 2004,30 Dec 2004,-
500302,PEL,PIRAMAL ENTERPRISES LTD.,27 Dec 2004,-,03 Jan 2005,-,-,27 Dec 2004,31 Dec 2004,-
524794,MATRIXLAB$,MATRIX LABORATORIES LTD.,13 Jan 2005,-,20 Jan 2005,-,-,13 Jan 2005,19 Jan 2005,-
512079,DOCTORBI,DOCTORS BIOTECH INDIA LTD.,18 Jan 2005,-,27 Jan 2005,-,-,18 Jan 2005,25 Jan 2005,-
530151,VIJAYTX,VIJAY TEXTILES LTD.,19 Jan 2005,-,28 Jan 2005,-,-,19 Jan 2005,27 Jan 2005,-
526235,MERCATOR,MERCATOR LTD.-$,24 Jan 2005,-,01 Feb 2005,-,-,24 Jan 2005,31 Jan 2005,-
523277,GVFILM,GV FILMS LTD.,08 Feb 2005,-,15 Feb 2005,-,-,08 Feb 2005,14 Feb 2005,-
532356,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LTD.,08 Feb 2005,-,15 Feb 2005,-,-,08 Feb 2005,14 Feb 2005,-
531738,SILICON,SILICON VALLEY INFOTECH LTD.,11 Feb 2005,-,18 Feb 2005,-,-,11 Feb 2005,17 Feb 2005,-
532072,INTERDIGI,INTERWORLD DIGITAL LTD.-$,14 Feb 2005,-,19 Feb 2005,-,-,14 Feb 2005,17 Feb 2005,-
503699,GEODESIC,GEODESIC LTD.,18 Feb 2005,-,25 Feb 2005,-,-,18 Feb 2005,24 Feb 2005,-
